# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_horizon_v2_re
# Exported by: Sonoran Warrior
setting:	replacespawns 1
mor_random_ammo	-644.619629 -51.769981 104.379433	0.171 0.001 0.147
mor_random_ammo	-642.504150 346.669617 104.418495	1.632 0.036 1.975
mor_random_ammo	-644.580811 397.918030 104.369164	0.091 0.000 0.045
mor_random_ammo	-644.633362 370.160370 104.390228	0.475 0.003 0.523
mor_random_ammo	2695.579102 53.801628 64.358772	-0.137 -0.039 -0.034
mor_random_ammo	2700.010254 45.446045 64.385292	0.104 0.057 -0.019
mor_random_ammo	2709.199219 36.527565 64.345589	-0.123 0.268 0.227
mor_random_ammo	2693.539307 268.166046 64.352371	0.532 -0.159 -0.299
mor_random_ammo	2705.671143 278.918030 64.327431	-0.121 -0.253 -0.246
mor_random_ammo	2715.805908 293.078949 64.425598	-0.018 -0.212 -0.090
item_ammo_smg1_mor	-1462.624268 320.144775 0.463488	-0.394 0.804 -0.258
item_ammo_smg1_mor	-1425.890625 311.391235 0.515688	-0.271 0.013 -0.230
item_ammo_smg1_mor	-1444.097656 318.212219 0.504741	0.594 -0.010 -0.454
item_ammo_smg1_mor	-1742.310059 210.010437 0.426511	-0.593 0.003 0.386
item_ammo_smg1_mor	-1723.792603 216.746506 0.513396	0.282 -0.011 -0.237
item_ammo_smg1_mor	-1704.535156 220.388702 0.386413	-0.088 0.005 0.046
item_ammo_smg1_mor	3001.818115 589.927979 -711.472656	0.236 -0.004 0.404
item_ammo_smg1_mor	3015.997803 589.840271 -711.452209	0.028 0.007 0.074
item_ammo_smg1_mor	3031.375977 590.006409 -711.441833	0.612 -0.526 0.443
item_ammo_smg1_mor	-2462.879639 883.383850 -151.444992	-0.023 -1.168 -0.042
item_ammo_smg1_mor	-541.678284 -278.003174 -703.521606	-0.450 -0.570 -0.287
item_ammo_smg1_mor	-524.294922 -275.825897 -703.595825	0.191 -0.005 0.116
item_ammo_smg1_mor	1019.403259 345.216125 -703.455444	-0.090 -0.140 -0.188
item_ammo_smg1_mor	1029.348877 325.478180 -703.487183	0.331 0.599 -0.082
item_ammo_smg1_mor	2464.337402 99.267479 -423.563446	-0.044 -0.041 0.044
item_ammo_smg1_mor	2462.956055 124.299812 -423.608307	0.110 -0.005 0.061
item_ammo_smg1_mor	4611.477539 285.291687 -127.560295	-0.018 -0.033 0.052
item_ammo_smg1_mor	4630.178711 274.453186 -127.579849	0.424 -0.004 0.273
item_ammo_smg1_mor	4648.580566 252.497803 -127.508949	-0.218 0.068 -0.008
item_ammo_smg1_mor	-870.091858 771.083984 -607.517212	-0.028 -0.042 0.029
item_ammo_smg1_mor	-2217.546631 1082.718384 -463.579834	-0.421 0.004 0.271
item_ammo_smg1_mor	-2481.653809 872.117065 -151.591095	0.238 -0.005 0.148
item_ammo_smg1_mor	-2324.841797 -703.992371 -63.595829	-0.191 0.005 0.117
item_ammo_smg1_mor	-693.913025 -77.386528 40.411228	0.269 -0.005 0.169
item_ammo_smg1_mor	-697.345764 -37.160431 40.486542	-0.332 1.650 -0.165
item_ammo_smg1_mor	-697.287292 6.882762 40.533497	-0.163 0.018 -0.142
item_ammo_smg1_mor	712.214722 749.140625 64.480469	0.144 0.351 -0.268
item_ammo_smg1_mor	704.512695 729.531982 64.495468	-0.210 -0.184 0.324
item_ammo_smg1_mor	727.480408 -435.071747 64.525925	-0.215 0.016 -0.184
item_ammo_smg1_mor	713.628296 -435.513641 64.514221	-0.273 0.014 -0.229
item_ammo_smg1_mor	697.506409 -430.461121 64.406555	0.213 -0.005 0.131
item_ammo_smg1_mor	-2192.533691 1083.615356 -463.598236	-0.170 0.005 0.102
item_ammo_smg1_mor	-906.994446 929.546326 -367.588745	0.269 -0.005 0.169
item_ammo_smg1_mor	-921.924683 925.934998 -367.569397	0.751 -0.002 0.492
item_ammo_smg1_mor	443.529938 596.509155 -439.577698	0.473 -0.004 0.306
item_ammo_smg1_mor	424.477264 599.178528 -439.600708	0.152 -0.005 0.090
item_ammo_smg1_mor	405.912842 598.143799 -439.582031	0.379 -0.005 0.243
item_ammo_smg1_mor	3869.406006 498.915070 -831.482483	0.258 -0.013 -0.217
item_ammo_smg1_mor	3888.555420 498.404541 -831.495544	0.663 -0.010 -0.500
item_ammo_smg1_mor	3903.936768 495.805450 -831.482483	0.247 -0.014 -0.214
item_ammo_smg1_mor	-1586.743164 832.722900 -483.582031	-0.374 0.005 0.239
item_ammo_smg1_mor	-1584.791626 809.130859 -483.582031	0.376 -0.005 0.241
item_ammo_smg1_mor	4524.724121 495.678070 -679.458923	-0.116 -0.244 -0.113
item_ammo_smg1_mor	4497.832031 481.578278 -679.442078	0.055 -0.658 -0.000
item_ammo_smg1_mor	4526.011719 472.734528 -679.517944	-0.081 -0.002 -0.173
item_ammo_smg1_mor	-462.559845 527.739929 -607.569397	0.743 -0.002 0.486
item_ammo_smg1_mor	-426.591614 531.213379 -607.608337	0.109 -0.005 0.061
item_ammo_smg1_mor	-487.795654 525.439453 -607.523499	0.555 -0.081 0.251
mor_random_rifle	-1281.738892 111.527367 0.862120	2.145 -5.699 83.921
mor_random_rifle	645.036682 126.047256 64.864883	2.110 -5.691 83.893
mor_random_rifle	-585.523071 -335.636932 64.856995	2.210 -6.224 83.972
mor_random_rifle	-627.131409 -425.073456 -147.166290	2.266 -4.685 83.960
mor_random_rifle	-588.445557 -33.138969 -183.144882	2.233 -5.791 83.990
mor_random_rifle	-361.445923 783.337280 -439.135681	2.117 -5.214 83.899
mor_random_rifle	446.053864 564.390625 -223.144012	2.222 -5.788 83.982
mor_random_rifle	4045.040039 487.479309 -127.138123	2.148 -5.702 83.923
mor_random_rifle	4039.022705 -171.190369 -127.137077	2.135 -5.697 83.913
mor_random_rifle	2480.487305 156.760925 -423.137177	2.136 -5.697 83.914
mor_random_rifle	2372.864014 119.236053 -831.137146	2.136 -5.697 83.914
mor_random_rifle	-1801.331909 -103.391747 -767.135681	2.117 -5.692 83.899
mor_random_rifle	-2518.850830 202.181580 -766.999512	2.087 -26.761 84.903
mor_random_rifle	-357.000732 902.017334 -223.144455	2.228 -5.791 83.986
mor_random_rifle	3881.953857 -155.033813 -831.137146	2.136 -5.697 83.914
mor_random_rifle	1721.700073 106.957878 64.865036	2.108 -5.364 83.892
mor_random_rifle	-961.117859 -592.522278 -703.136169	2.123 -5.693 83.904
mor_random_rifle	-455.422058 812.209900 -607.002563	2.321 -7.185 85.208
mor_random_rifle	1401.314819 -150.229691 -127.071472	2.161 -5.245 84.454
mor_random_rifle	-707.755920 392.788300 40.866016	2.096 -5.688 83.882
mor_random_rifle	-1542.755249 -495.697418 32.862926	2.135 -5.697 83.913
mor_random_rifle	4504.059082 -145.707413 -679.134644	2.104 -5.689 83.889
info_alien_spawn	-153.798615 361.933044 640.532104	-0.066 -0.000 0.066
info_alien_spawn	-284.788544 356.639099 640.537048	-0.062 -0.000 0.062
info_alien_spawn	-423.167694 334.566650 640.564026	-0.163 -0.061 -0.049
info_alien_spawn	-452.770752 168.707321 640.539795	-0.059 -0.000 0.059
info_alien_spawn	-455.463928 41.677727 640.533081	-0.065 -0.000 0.065
info_alien_spawn	-339.396790 -15.479098 640.558167	0.161 -0.030 -0.028
info_alien_spawn	-210.806396 -22.388327 640.538879	-0.060 -0.000 0.060
info_alien_spawn	-90.528801 -18.428946 640.527893	-0.070 -0.000 0.070
info_alien_spawn	-2.718260 -21.342279 640.535095	-0.063 -0.000 0.063
info_alien_spawn	130.694092 -11.598731 640.538879	-0.060 -0.000 0.060
info_alien_spawn	235.401260 -11.643708 640.599854	0.007 23.263 0.007
info_alien_spawn	385.041687 15.193666 640.539795	-0.059 -0.000 0.059
info_alien_spawn	423.901794 174.902344 640.530029	-0.068 -0.000 0.068
info_alien_spawn	395.043365 291.749481 640.521057	-0.077 -0.000 0.077
info_alien_spawn	311.935059 328.451569 640.539795	0.059 0.000 0.059
info_alien_spawn	208.593124 346.328217 640.531677	-0.068 0.000 -0.068
info_alien_spawn	132.793854 341.392883 640.536072	-0.062 0.000 -0.062
info_alien_spawn	38.676250 353.237701 640.535095	-0.063 -0.000 0.063
info_alien_spawn	-50.330769 353.314545 640.551270	-0.048 -0.000 0.048
mor_random_weapon	-1317.482300 217.288559 1.216086	1.694 4.700 -93.012
mor_random_weapon	-900.613831 778.349731 -606.801575	1.893 4.717 -92.557
mor_random_weapon	-961.263367 -104.824455 -734.764404	1.474 4.671 -93.516
mor_random_weapon	-986.973511 -122.351875 -734.783875	1.694 4.700 -93.012
mor_random_weapon	-2112.514160 568.335815 -510.790863	1.772 4.709 -92.833
mor_random_weapon	-2101.358643 637.577515 -510.769135	1.527 4.680 -93.395
mor_random_weapon	-346.652588 540.851807 -702.798645	1.860 4.715 -92.632
mor_random_weapon	716.087341 -212.995743 -702.791443	1.779 4.709 -92.817
mor_random_weapon	691.507813 508.836273 -702.770447	1.542 4.682 -93.360
mor_random_weapon	-917.042114 944.404053 17.213045	1.728 4.704 -92.934
mor_random_weapon	-160.208023 776.578735 65.213043	1.728 4.704 -92.934
mor_random_weapon	170.807053 756.142395 65.206062	1.807 4.711 -92.753
mor_random_weapon	-597.011963 -69.599495 105.202057	1.852 4.715 -92.650
mor_random_weapon	-604.768250 347.403717 105.199913	1.876 4.716 -92.595
mor_random_weapon	-602.319458 369.432098 105.223709	1.608 4.691 -93.210
mor_random_weapon	3028.367676 73.977455 228.119492	-25.900 0.930 -5.284
mor_random_weapon	3015.867676 243.633224 221.817474	-28.788 -2.137 86.597
item_ammo_battery_mor	-479.778564 -214.263123 -433.886078	0.021 -0.096 0.169
item_ammo_battery_mor	-479.949524 -197.012497 -433.931641	0.031 -0.092 0.251
item_ammo_battery_mor	-483.056122 -175.803268 -433.888977	0.021 -0.095 0.174
item_ammo_battery_mor	-1468.622314 -55.910061 -377.871613	0.018 -0.096 0.143
item_ammo_battery_mor	-1462.692505 -70.499908 -377.910187	0.026 -0.095 0.212
item_ammo_battery_mor	-1456.430786 -82.285156 -377.913818	0.027 -0.094 0.219
item_ammo_battery_mor	-2328.369385 1032.796143 -477.883270	0.020 -0.096 0.164
item_ammo_battery_mor	-2317.958984 1029.193726 -477.931671	0.031 -0.092 0.251
item_ammo_battery_mor	-2332.497070 1014.109375 -477.868042	0.017 -0.096 0.137
item_ammo_battery_mor	-1760.090332 389.093781 -761.877869	0.019 -0.096 0.155
item_ammo_battery_mor	-1743.964478 378.016937 -761.949707	0.035 -0.091 0.283
item_ammo_battery_mor	-1726.349731 375.130341 -761.278870	-7.251 -0.171 0.598
item_ammo_battery_mor	-432.447968 -212.392944 -697.834534	0.009 -0.096 0.077
item_ammo_battery_mor	-444.677917 -219.459396 -697.938110	0.032 -0.093 0.262
item_ammo_battery_mor	-446.046204 -194.047699 -697.919495	0.028 -0.095 0.229
item_ammo_battery_mor	-340.487274 296.811310 -433.954529	0.036 -0.087 0.292
item_ammo_battery_mor	-340.530945 304.678162 -433.877869	0.019 -0.096 0.155
item_ammo_battery_mor	-341.227875 312.051758 -433.949677	0.035 -0.091 0.283
item_ammo_battery_mor	780.135986 466.384125 -121.869171	0.010 -0.088 0.134
item_ammo_battery_mor	776.400757 558.971863 -121.895027	0.014 -0.088 0.178
item_ammo_battery_mor	3179.718018 -296.688324 -121.927475	0.030 -0.094 0.243
item_ammo_battery_mor	3178.199463 -303.161804 -121.881889	0.020 -0.096 0.162
item_ammo_battery_mor	3193.905029 -321.735352 -825.927429	0.030 -0.094 0.243
item_ammo_battery_mor	3198.417480 -314.364594 -825.942627	0.033 -0.090 0.270
item_ammo_battery_mor	3197.541504 -307.680084 -825.925415	0.029 -0.094 0.240
item_ammo_battery_mor	2732.739502 227.981400 -825.938110	0.032 -0.093 0.262
item_ammo_battery_mor	2733.283691 236.467850 -825.859314	0.015 -0.096 0.121
item_ammo_battery_mor	-300.809998 -418.288940 -433.819397	-0.010 -4.533 0.528
item_ammo_battery_mor	-305.186951 -433.491425 -433.947296	0.034 -0.090 0.279
item_ammo_buckshot_mor	-1618.040894 309.337311 0.445661	-0.528 -0.007 0.468
item_ammo_buckshot_mor	-1606.914429 309.722473 0.377108	0.470 0.018 -0.292
item_ammo_buckshot_mor	-1597.000610 310.124146 0.417903	-0.747 -0.006 0.662
item_ammo_buckshot_mor	-1167.969971 920.398499 16.464987	-0.373 -0.006 0.332
item_ammo_buckshot_mor	-1178.698364 923.941589 16.377106	0.470 0.018 -0.292
item_ammo_buckshot_mor	-1183.145996 934.327698 16.482990	1.117 -0.048 -0.476
item_ammo_buckshot_mor	-590.907104 589.255005 64.459106	-0.421 -0.006 0.374
item_ammo_buckshot_mor	-585.588379 602.593994 64.437759	-0.630 -0.004 0.486
item_ammo_buckshot_mor	623.573547 751.754883 64.415001	-0.770 -0.005 0.683
item_ammo_buckshot_mor	636.410706 752.028259 64.431160	-0.642 -0.007 0.570
item_ammo_buckshot_mor	1766.133667 462.022552 -127.529999	-0.335 -0.006 0.297
item_ammo_buckshot_mor	1748.110229 464.485321 -127.554733	-0.528 -0.007 0.470
item_ammo_buckshot_mor	1729.878540 466.512878 -127.652748	0.711 0.003 -0.567
item_ammo_buckshot_mor	2725.565186 26.579556 -831.574097	-0.683 -0.007 0.607
item_ammo_buckshot_mor	2737.283936 26.646648 -831.652710	0.718 0.003 -0.573
item_ammo_buckshot_mor	2757.778320 26.696169 -831.619690	-0.045 0.002 0.123
item_ammo_buckshot_mor	2653.875977 137.716934 64.448624	-0.504 -0.007 0.447
item_ammo_buckshot_mor	2635.617188 139.514694 64.378197	0.279 0.003 -0.137
item_ammo_buckshot_mor	2651.578857 154.791901 64.396347	-0.935 -0.003 0.831
need_food	-1037.388916 1379.910156 -5.706475	-0.086 -0.088 -0.043
need_wash	4663.746094 160.900635 -109.830399	0.025 -0.001 0.017
need_bed	-1701.433472 -415.860931 -365.714417	-0.000 -1.303 -0.010
need_bed	-1699.510254 -256.057220 -365.730927	-0.060 -1.233 -0.000
need_bed	-1701.386108 -96.827812 -365.761353	-0.133 -1.046 -0.000
weapon_glowstick	-1721.695923 39.820229 6.940360	-0.728 0.768 -0.160
weapon_glowstick	-1710.203491 189.714279 6.987294	-0.514 0.844 -0.113
weapon_glowstick	-1559.045532 272.555267 7.003109	-0.442 0.861 -0.097
weapon_glowstick	-1289.646851 30.624319 6.989795	-0.096 0.787 -0.639
weapon_glowstick	-1304.903931 31.246597 6.998614	-0.463 0.861 -0.101
weapon_glowstick	-2345.104004 -702.122864 -57.016167	-0.530 0.845 -0.116
weapon_glowstick	-2502.701172 -453.764526 -761.050293	-0.685 0.793 -0.150
weapon_glowstick	-2224.584717 1121.541992 -457.027191	-0.581 0.834 -0.127
weapon_glowstick	-1198.230103 942.512268 -360.948425	1.976 0.042 1.424
weapon_glowstick	-1174.591064 947.283752 -360.963959	2.451 0.059 1.768
weapon_glowstick	-347.277435 942.061157 -217.055374	-0.670 0.709 -0.133
weapon_glowstick	635.876892 -239.357376 -121.046242	-0.631 0.738 -0.126
weapon_glowstick	4034.989014 555.699219 -120.962494	0.548 -0.084 3.637
weapon_glowstick	4056.019043 -232.128006 -121.011017	-0.507 0.853 -0.111
weapon_glowstick	3715.459961 -64.721992 -825.057190	-0.717 0.766 -0.157
weapon_glowstick	-599.315491 -290.863831 -696.971130	0.609 -0.083 4.043
weapon_glowstick	-573.003845 -283.116821 -696.934692	0.333 -0.109 2.207
weapon_glowstick	-2203.114014 1119.791870 -457.019714	-0.546 0.844 -0.120
weapon_glowstick	-1616.663208 -456.729004 -377.007721	-0.492 0.854 -0.108
weapon_glowstick	-1584.445313 -453.481628 -376.927765	4.276 0.084 3.265
weapon_glowstick	-1585.270508 -449.713776 -376.959961	1.115 -0.774 4.448
weapon_glowstick	4072.533203 142.123337 -120.998367	-0.449 0.861 -0.098
weapon_glowstick	4073.915283 180.270462 -120.995438	-0.436 0.866 -0.096
weapon_glowstick	-633.541077 -72.939217 -177.027618	-0.551 0.771 -0.110
weapon_glowstick	-622.519897 393.176453 -177.013077	-0.488 0.782 -0.097
weapon_glowstick	-581.761230 -350.966034 70.990654	-0.499 0.854 -0.109
weapon_glowstick	-878.454102 92.835899 46.964855	-0.617 0.816 -0.135
weapon_glowstick	-876.706055 130.554306 46.974705	-0.572 0.833 -0.125
weapon_glowstick	-876.377808 168.224121 47.000137	-0.456 0.861 -0.100
weapon_glowstick	-2409.063965 928.775879 -145.002930	-0.470 0.860 -0.103
weapon_glowstick	-1263.807861 204.882813 7.003109	-0.442 0.861 -0.097
weapon_glowstick	-1269.893677 170.102783 7.037948	-0.638 1.312 -1.209
weapon_glowstick	-1723.349609 67.412041 6.940359	-0.728 0.768 -0.160
weapon_glowstick	-430.029541 -201.913025 -433.007690	-0.492 0.854 -0.108
weapon_glowstick	-448.290161 -210.416794 -433.006073	-0.484 0.854 -0.106
weapon_glowstick	424.628082 938.382141 -433.023407	-0.563 0.832 -0.124
weapon_glowstick	3681.715088 -78.263824 -825.010986	-0.507 0.853 -0.111
weapon_glowstick	3182.619873 -266.612976 -121.045776	-0.665 0.796 -0.146
weapon_glowstick	3176.977051 678.340027 -121.033119	-0.607 0.816 -0.133
weapon_glowstick	3184.153076 665.903320 -121.008133	0.306 -0.894 0.416
weapon_glowstick	2634.605713 169.702972 71.051224	2.018 0.044 1.454
weapon_mor_zx9	-1477.906006 266.596527 5.043158	-2.779 -0.952 0.362
weapon_mor_zx9	3209.414063 641.170532 -826.943787	-2.764 -0.950 0.312
weapon_mor_m418	-1352.225830 9.458850 1.228704	1.540 -8.847 83.098
weapon_mor_blaster	-459.903107 -219.792694 -439.170441	2.214 -18.387 -83.878
weapon_mor_blaster	-2318.601563 1006.487915 -483.174805	2.212 -18.358 -83.834
weapon_mor_blaster	3186.259033 -345.199646 -831.162109	2.217 -18.399 -83.963
weapon_mor_scarm8	-1634.590332 279.463593 1.222252	0.480 9.319 84.206
weapon_mor_scarm8	-1141.170532 925.966248 17.213081	0.493 9.317 84.047
weapon_mor_scarm8	580.257874 745.471252 65.253181	0.339 9.321 84.871
weapon_mor_scarm8	1796.793579 465.277985 -126.788910	0.500 9.317 84.006
weapon_mor_scarm8	2746.046143 11.695909 -830.740112	0.313 9.321 85.008
weapon_mor_scarm8	2635.248047 114.096519 65.227760	0.437 9.319 84.348
item_ammo_pistol_mor	-1248.832031 79.900223 0.422160	-0.067 -0.020 -0.020
item_ammo_pistol_mor	-1246.963257 54.605328 0.420994	-0.068 -0.020 -0.021
item_ammo_pistol_mor	-1242.562866 100.104927 0.465066	0.376 0.019 0.038
item_ammo_pistol_mor	-1242.386597 128.210022 0.398233	0.088 0.020 -0.027
item_ammo_pistol_mor	-1242.692017 154.228134 0.372671	0.110 0.020 -0.033
item_ammo_pistol_mor	-1184.250244 375.425507 -703.664246	-0.142 -0.019 -0.043
item_ammo_pistol_mor	-1174.504272 371.756958 -703.627319	-0.110 -0.020 -0.033
item_ammo_pistol_mor	180.438522 385.482727 -183.637207	-0.119 -0.019 -0.036
item_ammo_pistol_mor	191.015518 386.970154 -183.597305	-0.084 -0.020 -0.025
item_ammo_pistol_mor	202.523895 387.809753 -183.619919	-0.104 -0.020 -0.031
item_ammo_pistol_mor	-1406.383423 -497.556732 32.328194	-0.149 -0.018 -0.045
item_ammo_pistol_mor	-1418.011719 -497.758850 32.358608	-0.122 -0.019 -0.037
item_ammo_pistol_mor	-1430.704102 -501.172668 32.376423	-0.107 -0.020 -0.032
item_ammo_pistol_mor	-1941.586914 -710.819214 -63.669247	-0.147 -0.018 -0.044
item_ammo_pistol_mor	-1953.449097 -713.375610 -63.639290	-0.121 -0.019 -0.037
weapon_mor_medkit	4067.014893 160.635147 -127.514229	-0.749 -0.277 0.045
weapon_mor_medkit	4058.427246 180.464996 -127.530571	-0.505 -0.133 0.029
weapon_mor_medkit	4053.857422 144.963791 -127.518257	-0.844 -0.270 0.033
weapon_mor_medkit	-614.130249 -61.541271 -183.531311	-1.063 0.602 0.060
weapon_mor_medkit	-595.613159 -80.935356 -183.542679	-1.302 0.645 0.048
weapon_mor_medkit	-2433.552002 920.386353 -151.514236	-0.750 -0.277 0.045
weapon_mor_medkit	-590.188599 -283.013885 -703.516113	-0.794 -0.274 0.039
weapon_mor_medkit	-558.360291 -284.700287 -703.510925	-0.673 -0.282 0.055
weapon_mor_medkit	-572.345032 590.010132 64.481743	-0.844 -0.270 0.033
weapon_mor_medkit	-723.378418 300.243896 40.487255	-0.715 -0.281 0.050
weapon_mor_medkit	-716.469849 34.740364 40.485512	-0.756 -0.277 0.044
weapon_mor_medkit	-826.974121 952.851501 -367.567078	-1.791 -1.961 0.155
weapon_mor_medkit	-852.018860 950.151062 -367.520966	-0.908 -0.257 0.024
weapon_mor_medkit	-1740.349731 89.264030 0.485510	-0.756 -0.277 0.044
weapon_mor_medkit	-1732.347046 117.683395 0.484705	-0.775 -0.277 0.042
weapon_mor_medkit	-1341.277832 279.847321 0.488169	-0.693 -0.281 0.053
weapon_mor_medkit	-1323.557861 258.030701 0.477155	-0.952 -0.246 0.018
weapon_mor_medkit	-1373.497192 284.200684 0.480424	-0.875 -0.264 0.028
weapon_mor_medkit	-2356.551758 -705.265991 -63.524033	-0.980 -0.231 0.015
weapon_mor_medkit	-1285.968506 50.514629 0.482058	-0.837 -0.269 0.034
mor_random_pistol	-1761.218994 66.598450 0.847538	2.221 -18.438 -84.063
mor_random_pistol	-1756.416016 166.936172 0.841810	2.219 -18.436 -84.004
mor_random_pistol	-1314.706787 52.651669 0.829542	2.214 -18.387 -83.878
mor_random_pistol	-1324.725586 3.153036 0.868016	2.229 -18.489 -84.273
mor_random_pistol	-1188.210327 389.992004 -703.135132	2.227 -18.491 -84.240
mor_random_pistol	187.967758 363.820343 -183.029404	1.971 -18.759 -85.846
mor_random_pistol	-1446.573608 -497.219879 32.827389	2.213 -18.357 -83.856
mor_random_pistol	-1928.902710 -712.344177 -63.146988	2.223 -18.473 -84.119
mor_random_pistol	-1709.673340 17.110405 0.879742	2.233 -18.491 -84.393
mor_random_smg	-1400.100952 304.692261 1.093656	0.304 6.174 -87.270
mor_random_smg	-1709.372681 108.254166 1.093736	0.301 6.174 -87.266
mor_random_smg	-1278.187622 152.165634 1.093926	0.294 6.174 -87.258
mor_random_smg	3160.143799 -282.078247 -126.906189	0.298 6.174 -87.263
mor_random_smg	-1423.874634 -12.860236 -382.905762	0.283 6.176 -87.244
mor_random_smg	-925.385986 952.383179 -366.906403	0.307 6.174 -87.273
mor_random_smg	-824.635254 953.374939 17.093615	0.305 6.174 -87.272
mor_random_smg	634.514099 45.141365 65.094261	0.282 6.176 -87.243
mor_random_smg	640.911255 199.619690 65.093033	0.326 6.192 -87.297
mor_random_smg	4615.878418 36.343803 -126.973923	0.176 7.698 -86.701
mor_random_smg	-2457.612061 898.370544 -150.906647	0.315 6.180 -87.283
mor_random_smg	-532.355103 -309.069702 -702.905151	0.262 6.171 -87.218
mor_random_smg	1006.410339 355.942719 -702.905212	0.264 6.174 -87.220
mor_random_smg	424.338043 622.972717 -438.905670	0.280 6.176 -87.240
mor_random_smg	3886.489746 472.322021 -830.905884	0.289 6.175 -87.252
mor_random_smg	-1580.819946 781.987061 -482.905151	0.261 6.171 -87.217
mor_random_smg	-730.089844 -53.749382 41.093128	0.323 6.187 -87.293
mor_random_smg	4514.584961 448.223572 -678.906067	0.296 6.174 -87.259
mor_random_smg	-2163.839111 1110.393921 -462.906219	0.300 6.174 -87.264
mor_random_smg	-459.418488 491.024811 -606.905334	0.267 6.177 -87.225
item_ammo_revolver_mor	-1700.738281 261.663635 0.383595	-0.101 -0.020 -0.030
item_ammo_revolver_mor	-1685.558838 263.685211 0.349877	-0.130 -0.019 -0.039
item_ammo_revolver_mor	-1671.596436 265.421112 0.395150	-0.091 -0.020 -0.027
item_ammo_revolver_mor	-1540.845459 313.998199 0.330751	-0.147 -0.018 -0.044
item_ammo_revolver_mor	-1529.909180 314.166595 0.325598	-0.151 -0.018 -0.046
item_ammo_revolver_mor	-1519.098511 311.557312 0.358607	-0.122 -0.019 -0.037
item_ammo_revolver_mor	640.072693 153.280731 64.322960	-0.154 -0.018 -0.047
item_ammo_revolver_mor	635.200378 87.829498 64.366821	-0.115 -0.019 -0.035
item_ammo_revolver_mor	649.503784 87.939148 64.345306	-0.134 -0.019 -0.041
