# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_surface_v2
# Exported by: Danny Judas
setting:	replacespawns 1
mor_random_ammo	2897.425049 -3009.635986 292.322754	0.047 0.000 -0.033
mor_random_ammo	2993.163330 -3007.334717 292.376404	-0.121 -0.000 0.084
mor_random_ammo	3026.867188 -3008.202393 292.320862	-0.047 -0.000 -0.034
mor_random_ammo	3056.650879 -3007.986084 292.333588	-0.047 0.000 0.028
mor_random_ammo	3054.964111 -3058.282715 292.441223	1.198 0.030 1.455
mor_random_ammo	3020.001709 -3057.458252 292.347626	-0.050 -0.000 -0.017
mor_random_ammo	2988.772461 -3056.507568 292.409271	-0.966 -0.012 1.121
mor_random_ammo	2893.849609 -3055.044922 292.318207	-0.047 -0.000 -0.035
mor_random_ammo	2858.888428 -3054.423584 292.345367	-0.049 -0.000 -0.019
mor_random_ammo	2831.028809 -3055.375000 292.343079	-0.048 -0.000 -0.021
mor_random_ammo	2832.877930 -3174.988037 292.409210	-0.960 -0.011 1.114
mor_random_ammo	2866.450928 -3174.545166 292.347626	-0.050 -0.000 -0.017
mor_random_ammo	2897.900635 -3175.590576 292.434174	1.351 0.033 1.641
mor_random_ammo	2995.433105 -3176.597656 292.380219	-0.153 -0.001 0.124
mor_random_ammo	3025.275879 -3176.534668 292.466278	-1.001 -0.026 1.217
mor_random_ammo	3053.801514 -3175.860840 292.335999	-0.047 0.000 0.027
mor_random_ammo	3054.845459 -2882.167480 324.335999	-0.047 0.000 0.027
mor_random_ammo	3022.386719 -2881.891357 324.331085	-0.047 -0.000 -0.029
mor_random_ammo	2994.281494 -2881.764893 324.385925	-0.217 -0.001 0.206
mor_random_ammo	3055.521484 -3006.391846 324.345367	-0.049 -0.000 -0.019
mor_random_ammo	3023.206787 -3007.108643 324.399902	-0.553 -0.004 0.618
mor_random_ammo	2994.683105 -3007.758789 324.345367	-0.049 -0.000 -0.019
mor_random_ammo	3037.972900 -1134.681641 256.378326	-0.137 -0.000 0.104
mor_random_ammo	3298.638916 -1136.817139 256.411865	-1.101 -0.015 1.286
mor_random_ammo	81.586555 -394.585541 -16.114986	0.466 -0.409 -89.696
mor_random_ammo	94.314232 -485.237946 -16.466572	1.775 31.881 -89.710
mor_random_ammo	69.000557 -392.032867 -16.833061	-5.175 -3.058 91.019
mor_random_ammo	91.182297 -89.640640 160.330399	0.047 -0.000 0.029
mor_random_ammo	984.592957 -689.925842 256.380249	-0.154 -0.001 0.126
mor_random_ammo	999.008179 -681.973083 256.354218	-0.055 -0.000 -0.007
mor_random_ammo	991.207092 -840.683899 256.387848	-0.250 -0.001 0.246
mor_random_ammo	1016.248718 -858.077698 256.366638	-0.077 -0.000 0.026
mor_random_ammo	932.135742 -2127.745361 256.355438	0.057 0.000 -0.004
mor_random_rifle	3739.189453 -4899.587402 256.853668	2.251 -5.792 84.005
mor_random_rifle	1152.983154 -2777.132080 400.865631	2.101 -5.689 83.886
mor_random_rifle	4515.963379 355.853973 296.861481	2.153 -5.702 83.927
mor_random_rifle	9.750957 -2206.074707 360.257751	2.080 -23.132 84.323
mor_random_rifle	-230.718445 -2737.497803 384.922485	1.128 -96.829 -83.220
mor_random_rifle	3001.636719 -2891.721924 261.170807	2.033 -9.825 -86.611
mor_random_rifle	3047.814697 -2873.878906 260.904419	1.444 22.689 84.730
mor_random_rifle	2844.712402 -2873.310059 260.840027	1.609 7.873 84.300
mor_random_rifle	2898.304932 -2876.535156 260.892395	2.008 -25.032 85.227
mor_random_rifle	922.532471 83.974602 0.865268	2.105 -5.690 83.889
info_alien_spawn	1661.991699 -4446.937012 240.533768	-0.080 -0.000 0.080
info_alien_spawn	1664.692871 -4385.931152 240.531738	-0.082 -0.000 0.082
info_alien_spawn	1666.779419 -4315.282715 240.534760	-0.079 -0.000 0.079
info_alien_spawn	1668.394043 -4257.873047 240.555893	-0.053 -0.000 0.053
info_alien_spawn	1666.149780 -4191.188477 240.526398	-0.089 -0.000 0.089
info_alien_spawn	1667.745239 -4125.936035 240.576874	-0.028 -0.000 0.028
info_alien_spawn	1666.344971 -4063.343018 240.537643	-0.075 -0.000 0.075
info_alien_spawn	1667.286499 -4000.677979 240.536697	-0.076 -0.000 0.076
info_alien_spawn	1667.791138 -3936.160889 240.550247	-0.060 -0.000 0.060
info_alien_spawn	1669.408447 -3866.479248 240.526398	-0.089 -0.000 0.089
info_alien_spawn	1670.807373 -3806.496338 240.552444	-0.057 -0.000 0.057
info_alien_spawn	1665.698975 -3744.314209 240.574310	-0.031 -0.000 0.031
info_alien_spawn	1663.509644 -3678.855469 240.535736	-0.078 -0.000 0.078
info_alien_spawn	1664.062866 -3614.795654 240.526398	-0.089 -0.000 0.089
info_alien_spawn	1664.031250 -3552.029785 240.520630	-0.096 -0.000 0.096
mor_random_weapon	608.943970 -778.026306 257.201355	1.860 4.715 -92.632
mor_random_weapon	-281.116150 -1704.441406 257.189697	1.991 4.921 -92.331
mor_random_weapon	463.420197 -1725.866699 257.211029	1.751 4.927 -92.882
mor_random_weapon	4589.206543 -2495.289551 257.223328	1.612 4.691 -93.200
mor_random_weapon	3047.806396 -2830.036621 261.053711	1.261 2.136 -94.094
mor_random_weapon	3000.263428 -2831.883545 261.246399	1.351 -2.034 -93.798
mor_random_weapon	2887.289795 -2831.632568 261.134064	1.313 -2.146 -94.290
mor_random_weapon	2839.333252 -2830.548096 261.071320	1.438 4.929 -93.996
mor_random_weapon	445.409149 -1020.382751 129.223343	1.612 4.691 -93.200
need_food	-536.938110 943.251648 -5.808946	0.008 0.002 -0.012
need_food	-637.956055 1044.965942 -4.858396	0.008 -0.075 -1.855
need_food	-728.099304 933.258850 -5.806850	0.018 0.010 -0.007
need_food	-638.049255 834.543457 -5.845366	-0.007 0.003 -0.016
need_food	-543.656982 733.172302 -5.843016	-0.005 0.006 0.011
need_food	-733.734802 733.566406 -5.869794	-0.012 0.000 0.015
need_food	-401.549896 882.121521 58.180840	0.003 0.005 0.013
need_wash	4293.602539 -4463.526855 274.289764	0.009 0.031 0.000
need_wash	4295.003906 -4664.180664 274.167084	-0.023 0.001 0.016
need_wash	4304.727051 -4888.043457 274.180573	0.007 0.004 -0.003
need_wash	4098.651855 -4967.843262 274.281250	-0.174 -90.027 -0.072
need_wash	4024.032227 -4750.451172 266.284119	0.025 -0.002 0.024
need_wash	4024.059814 -4594.203613 266.293518	0.099 -0.003 0.049
need_wash	4136.976563 -4587.789551 266.279755	-0.001 1.582 -0.017
need_wash	4136.758301 -4753.271973 266.241943	0.000 -1.267 0.062
need_wash	3861.073486 -4947.860840 274.293549	0.000 87.723 0.000
need_wash	3911.969482 -4755.270020 266.198883	-0.091 -0.013 -0.037
need_wash	3912.834717 -4590.566895 266.286987	-0.000 1.311 -0.008
need_wash	3800.076172 -4591.015137 266.268738	0.121 -0.042 0.060
need_wash	3801.042725 -4758.212891 266.267853	0.038 0.005 0.018
need_bed	3498.133057 404.953522 303.762665	0.012 -0.023 -0.013
need_bed	3286.476318 412.293701 303.710846	0.006 -0.018 -0.016
need_bed	3306.269043 836.522766 303.715607	-0.036 -0.006 0.009
need_bed	3539.751465 839.746704 303.724640	0.007 -0.017 -0.012
need_bed	3671.611816 838.078918 303.770050	-0.029 -0.009 0.003
need_bed	3906.135254 833.496643 303.794525	-0.017 -0.011 0.005
need_bed	3670.238281 404.158386 303.703522	-0.032 -0.015 0.007
need_bed	3877.850342 402.566864 303.766724	-0.018 -0.013 0.006
weapon_glowstick	3053.953369 -3173.047852 330.943146	0.793 13.401 0.174
weapon_glowstick	3023.849121 -3176.056396 331.011047	-1.261 -8.303 -2.124
weapon_glowstick	2993.464844 -3166.129639 330.961578	0.916 21.840 0.070
weapon_glowstick	2895.241211 -3162.091553 326.118103	73.289 101.076 -89.956
weapon_glowstick	2864.014160 -3165.741943 326.113403	80.598 -83.566 90.464
weapon_glowstick	2829.834717 -3169.959961 325.970642	-69.897 -91.804 90.033
weapon_glowstick	2932.489014 -2344.592529 303.035400	0.481 -0.087 3.501
weapon_glowstick	3607.231934 -2383.997070 262.972778	-0.581 0.834 -0.127
weapon_glowstick	3604.517090 -2368.556641 262.966888	-0.607 0.816 -0.133
weapon_glowstick	3545.166260 -3286.794922 262.981598	0.335 -0.887 0.456
weapon_glowstick	3534.967285 -3295.271729 263.004181	0.271 -0.899 0.369
weapon_glowstick	4997.651367 -3341.091797 303.085938	0.603 -177.809 0.887
weapon_glowstick	4992.645996 -3333.159180 298.078461	84.535 -59.588 -89.980
weapon_glowstick	2036.434937 45.349174 262.951996	-0.675 0.798 -0.148
weapon_glowstick	2046.798828 44.862648 263.015442	-0.386 0.870 -0.085
weapon_glowstick	-44.071617 -4.743286 7.000134	-0.456 0.861 -0.100
weapon_glowstick	-29.669544 -4.112144 6.983831	-0.530 0.845 -0.116
weapon_glowstick	-35.905991 -21.784418 7.016696	-0.380 0.870 -0.083
weapon_glowstick	-352.009430 1155.520874 38.937923	-0.739 0.762 -0.162
weapon_glowstick	-341.106049 1157.193481 39.021580	-0.358 0.874 -0.078
weapon_glowstick	-346.038910 1145.195190 2.243067	76.626 -35.136 90.019
weapon_glowstick	668.177734 422.673218 53.692757	-0.717 0.766 -0.157
weapon_glowstick	659.484436 417.165070 53.687920	-0.739 0.762 -0.162
weapon_glowstick	1255.821045 772.504089 182.031540	-0.312 0.878 -0.068
weapon_glowstick	2196.592285 665.064392 281.526184	-0.337 0.876 -0.074
weapon_glowstick	3883.172852 102.402367 302.945099	-0.706 0.765 -0.155
weapon_glowstick	3882.260498 94.386780 302.985565	-0.522 0.844 -0.115
weapon_glowstick	3869.212402 102.817108 303.046204	-0.245 0.882 -0.054
weapon_glowstick	3459.979736 -225.027954 281.380432	-0.058 0.112 0.877
weapon_glowstick	3695.826416 -1221.518799 306.926636	0.290 -0.598 0.370
weapon_glowstick	3618.473389 -4369.265625 262.993561	-0.459 0.790 -0.091
weapon_glowstick	1361.142334 -3004.719971 263.023926	-0.347 0.876 -0.076
weapon_glowstick	1334.553467 -3027.025635 262.984650	-0.102 0.773 -0.669
weapon_glowstick	413.798309 -3047.841064 262.929840	-0.734 0.682 -0.146
weapon_glowstick	399.230316 -3047.032959 262.986908	-0.488 0.782 -0.097
weapon_glowstick	402.508270 -3031.343262 262.993561	-0.459 0.790 -0.091
weapon_glowstick	489.545898 -1715.113281 262.962341	-0.594 0.757 -0.118
weapon_glowstick	483.828644 -1737.942139 263.053589	-0.200 0.819 -0.040
weapon_glowstick	208.243973 -1005.823364 134.972794	-0.581 0.834 -0.127
weapon_glowstick	396.808746 -545.498779 52.576527	-0.118 -1.784 0.467
weapon_glowstick	399.282806 -541.473389 47.563972	-55.986 24.695 -88.671
weapon_glowstick	405.236877 -576.786133 2.249742	78.230 71.011 90.004
weapon_glowstick	306.805054 -103.474861 6.978437	-0.555 0.832 -0.122
weapon_glowstick	305.867859 -83.014061 6.952799	0.528 0.008 0.777
weapon_glowstick	299.114502 -91.285637 7.031967	2.615 0.069 1.886
weapon_glowstick	809.020020 -2832.550537 263.030487	-0.317 0.878 -0.070
weapon_glowstick	816.003357 -2840.532227 262.951996	-0.675 0.798 -0.148
weapon_glowstick	310.329102 679.932617 7.077041	0.097 0.082 0.156
weapon_glowstick	319.744385 689.039917 7.011508	-0.404 0.870 -0.089
weapon_glowstick	323.958710 678.625427 2.106918	71.681 -16.397 90.461
weapon_glowstick	319.549866 370.841553 2.036980	-40.563 42.982 89.930
weapon_glowstick	331.313385 366.107056 7.088913	0.123 1.105 0.126
weapon_glowstick	330.978790 370.135071 2.084722	-49.384 87.942 89.984
weapon_glowstick	1111.822510 -2011.725464 326.930389	-0.774 0.733 -0.170
weapon_glowstick	1098.150879 -2013.102539 327.042023	-0.265 0.881 -0.058
weapon_glowstick	1100.245605 -2001.428833 326.952026	-0.675 0.798 -0.148
weapon_glowstick	1226.197144 -2292.687744 406.958557	-0.645 0.795 -0.142
weapon_glowstick	1220.968628 -2302.345459 406.990662	-0.499 0.854 -0.109
weapon_glowstick	1007.235718 -3194.571533 314.332367	0.275 -0.899 0.375
weapon_glowstick	812.944275 -689.502991 314.618530	-0.598 0.816 -0.131
weapon_mor_scarm8	3501.069580 -234.063873 275.529755	-0.083 11.587 86.458
weapon_mor_medkit	-23.708447 -2036.830322 277.921326	-0.602 -1.648 0.066
weapon_mor_medkit	-21.744970 -1846.806519 277.915314	-0.754 -0.269 0.039
weapon_mor_medkit	-20.540789 -1682.193359 277.914001	-0.786 -0.267 0.034
weapon_mor_medkit	145.098526 -1676.532349 277.915314	-0.754 -0.269 0.039
weapon_mor_medkit	147.165726 -1821.109619 277.920807	-0.622 -0.275 0.058
weapon_mor_medkit	147.138229 -2014.847778 277.919159	-0.662 -0.274 0.052
weapon_mor_medkit	147.980270 -1931.868042 256.472565	-0.982 0.596 0.065
weapon_mor_medkit	152.217575 -1765.028442 256.484192	-0.738 0.582 0.078
weapon_mor_medkit	-7.927164 -1757.661133 256.480225	0.699 3.028 -0.184
weapon_mor_medkit	-21.502483 -1927.559326 256.460632	-1.232 0.630 0.051
mor_random_pistol	3742.675293 -4174.442871 256.903534	2.242 -18.495 -84.637
mor_random_pistol	1282.102295 -2367.963623 256.831665	2.215 -18.398 -83.900
mor_random_pistol	861.759949 -670.110168 256.903534	2.242 -18.495 -84.637
mor_random_pistol	-426.447418 -1249.729492 256.970734	2.098 -18.687 -85.625
mor_random_pistol	-30.406012 -797.411560 256.839844	2.218 -18.429 -83.984
mor_random_pistol	-65.538490 159.000122 0.883783	2.235 -18.491 -84.435
mor_random_pistol	-241.112747 764.423645 0.970649	2.027 -18.722 -85.748
mor_random_pistol	595.848145 414.127167 47.603004	2.223 -18.473 -84.119
mor_random_pistol	606.359619 347.512482 34.688946	2.235 -18.491 -84.448
mor_random_pistol	2184.173584 -731.285583 256.970520	1.923 -19.147 -85.929
mor_random_pistol	3138.172852 812.004700 267.398773	2.660 -22.132 -82.774
mor_random_pistol	3048.291992 338.708984 267.494507	2.572 -17.497 -85.478
mor_random_pistol	5001.794922 -3305.213623 296.832947	2.418 -62.013 -83.777
mor_random_pistol	2638.127441 -4144.256348 256.898254	2.240 -18.494 -84.583
mor_random_pistol	3489.829102 -3791.126953 296.882446	2.234 -18.490 -84.421
mor_random_pistol	1712.570190 -620.238708 256.900421	2.241 -18.493 -84.605
mor_random_pistol	3006.611084 -2489.272949 296.854797	3.323 -16.771 -83.685
mor_random_pistol	2989.321777 -3055.255127 260.861145	2.237 -57.284 -85.434
mor_random_pistol	3020.937744 -3060.055420 260.863556	1.271 -23.440 -86.762
mor_random_pistol	3057.010498 -3062.736816 260.905243	1.491 21.420 -85.952
mor_random_pistol	2828.288086 -3060.778320 260.858185	2.235 -40.800 -85.410
mor_random_pistol	2857.228271 -3059.570801 260.833710	1.895 -16.165 -85.980
mor_random_pistol	2892.680908 -3059.977051 260.969330	1.022 2.520 -87.497
mor_random_pistol	3049.958252 -3175.816162 260.797333	1.876 -54.395 -85.978
mor_random_pistol	3020.237793 -3178.245605 260.802277	1.381 -32.863 -85.810
mor_random_pistol	2986.851074 -3177.284912 260.843750	2.163 -11.240 -85.626
mor_random_pistol	2890.753418 -3171.909424 260.816406	1.799 -53.276 -85.817
mor_random_pistol	2859.492188 -3173.023926 260.723999	2.299 -42.277 -85.041
mor_random_pistol	2826.445557 -3180.954346 260.803894	1.666 -20.739 -85.655
mor_random_pistol	3756.137207 -924.185364 256.872589	2.230 -18.491 -84.320
mor_random_pistol	4028.307129 -1581.921143 256.859924	2.226 -18.490 -84.190
mor_random_pistol	3764.070801 -3209.155029 256.835815	2.216 -18.399 -83.943
mor_random_pistol	1202.892700 736.467651 174.344269	2.865 -28.627 -84.440
mor_random_pistol	1083.232666 -782.336365 256.983673	2.919 27.043 -85.480
mor_random_pistol	3563.700195 -1190.525391 256.816101	2.208 -18.320 -83.741
mor_random_smg	1073.698608 -2063.227539 385.093506	0.310 6.176 -87.277
mor_random_smg	975.961731 -1494.098022 304.095215	0.288 6.165 -87.293
mor_random_smg	-148.760513 1086.025635 109.049797	0.636 -0.217 -86.366
mor_random_smg	413.447693 -287.280548 1.094979	0.251 6.213 -87.198
mor_random_smg	3547.327881 738.907471 257.094543	0.272 6.177 -87.230
mor_random_smg	3938.714355 -602.383179 257.094147	0.287 6.175 -87.249
mor_random_smg	3146.964600 -4748.562012 257.093811	0.298 6.174 -87.263
mor_random_smg	1858.164185 90.072823 257.095367	0.243 6.159 -87.195
mor_random_smg	2444.906738 510.706238 265.093170	0.321 6.182 -87.291
mor_random_smg	2888.604492 -3015.460205 260.898132	0.601 6.624 -85.920
mor_random_smg	2834.751465 -3013.834717 261.022766	0.507 4.743 -86.945
mor_random_smg	3049.641357 -3016.215576 260.904480	0.656 -2.661 -86.105
mor_random_smg	2998.797363 -3015.217285 260.812317	0.624 18.350 -86.255
mor_random_smg	3319.666016 -792.876465 257.094208	0.284 6.176 -87.246
mor_random_smg	192.957642 -1029.646118 129.092941	0.330 6.191 -87.302
weapon_frag	3198.010010 -3988.159912 258.000000	0.000 0.000 0.000
weapon_frag	2613.901855 -4036.533691 258.715515	39.715 138.398 -100.731
weapon_frag	138.053421 730.406921 129.954941	7.724 116.661 -86.584
weapon_frag	2831.515137 -2879.929199 326.082184	-35.540 -56.917 -89.696
weapon_frag	2859.555908 -2879.274902 326.155762	-36.664 -55.825 -91.426
weapon_frag	2886.400146 -2878.222656 326.190186	-37.190 -55.266 -92.267
weapon_frag	2894.334961 -2827.671387 326.124756	-36.190 -56.303 -90.687
weapon_frag	2861.323242 -2827.090332 326.102173	-35.845 -56.637 -90.157
weapon_frag	2830.021240 -2825.331055 326.187439	-37.148 -55.320 -92.199
weapon_frag	2990.489258 -2826.358643 326.116547	-36.065 -59.957 -90.493
weapon_frag	3023.407227 -2828.145264 326.192780	-37.229 -55.224 -92.330
weapon_frag	3047.962646 -2828.584229 326.164795	-36.802 -55.682 -91.644
weapon_frag	2893.696289 -3003.668701 326.146362	-36.520 -55.973 -91.200
weapon_frag	2862.829590 -3003.561523 326.174530	-36.951 -55.524 -91.882
weapon_frag	2834.945313 -3002.895508 326.153961	-36.637 -55.861 -91.383
weapon_frag	42.724934 -2470.360596 258.125763	-36.206 -49.782 -90.710
weapon_frag	814.619812 -308.646027 74.154030	-36.638 -55.846 -91.384
weapon_frag	-162.188843 736.788025 11.697392	10.064 -86.380 118.888
weapon_frag	1853.244629 803.181030 258.144348	-36.490 -56.002 -91.152
weapon_frag	-289.338196 2.058755 130.118332	-36.092 -49.878 -90.535
weapon_frag	132.131226 736.318115 130.116379	38.111 -18.403 -85.375
player_start	-275.180817 890.244080 4.545725	0.076 0.057 0.248
player_start	-349.193817 157.635056 4.575080	-0.030 -0.000 0.030
player_start	-103.184357 -418.445557 4.557845	-0.051 -0.000 0.051
player_start	-415.951965 -478.411926 260.539490	0.073 -0.000 0.073
player_start	-608.033447 -801.558533 260.542175	-0.070 -0.000 0.070
player_start	-736.934570 -1248.090698 260.538849	-0.060 -0.000 0.060
player_start	-799.981995 -1631.497925 260.540649	-0.058 -0.000 0.058
player_start	-28.446409 -1759.335327 260.572449	-0.068 -0.000 -0.015
player_start	147.222183 -2130.551270 260.534058	-0.064 -0.000 0.064
player_start	-170.378265 -3047.421387 260.550476	-0.048 -0.000 0.048
player_start	-279.626160 -3039.898193 260.548187	-0.093 2.237 -0.071
player_start	230.553268 -3027.243164 260.512207	-0.086 -0.000 0.086
player_start	605.698975 -1630.805786 260.522186	-0.076 -0.000 0.076
player_start	116.849426 -658.068115 68.563942	0.000 0.332 -0.114
player_start	164.077698 866.807617 132.538574	-0.074 -0.000 0.074
player_start	412.139313 232.574982 4.543022	0.069 -0.000 0.069
player_start	833.550598 -94.721016 4.539483	0.073 -0.000 0.073
player_start	1023.789063 -366.679016 260.537659	-0.075 -0.000 0.075
player_start	768.400452 -287.254211 76.531601	-0.266 0.012 -0.049
player_start	2239.505859 705.140442 260.562042	-0.046 -0.000 0.046
player_start	1728.979004 -962.435669 260.551727	-0.058 -0.000 0.058
player_start	1057.892822 -768.732666 260.528595	-0.086 -0.000 0.086
player_start	918.978088 -674.588318 260.534760	-0.079 -0.000 0.079
player_start	1147.016357 -1599.705444 260.563721	-0.043 -0.000 0.044
player_start	1246.245117 -2042.568726 404.539490	-0.073 -0.000 0.073
player_start	1286.356934 -2892.801025 260.551727	-0.059 -0.000 -0.058
player_start	2639.617432 -4224.180176 260.545563	-0.066 -0.000 0.066
player_start	2853.022705 -4945.420410 260.552460	-0.057 -0.000 0.057
player_start	4077.036865 -4692.018066 252.484085	0.028 -0.000 -0.028
player_start	3860.561035 -4697.058105 252.469223	0.031 -0.000 -0.031
player_start	3422.139893 -3782.829590 260.525299	-0.090 -0.000 0.090
player_start	3797.515625 -3553.771484 260.555908	-0.053 -0.000 0.053
player_start	3777.000977 -2826.678711 384.605133	0.059 -1.255 -0.057
player_start	3776.911621 -2688.667236 388.542175	-0.070 -0.000 0.070
player_start	4222.454590 -1984.946045 260.528564	-0.086 -0.000 -0.086
player_start	4225.034180 -1469.140625 260.527496	-0.088 -0.000 0.088
player_start	4195.690918 -1014.743774 328.576782	-0.004 -1.460 0.077
player_start	4181.776367 -358.848724 260.559082	-0.049 -0.000 0.049
player_start	3750.539795 -162.240067 260.531342	-0.066 -0.000 0.066
player_start	4411.714844 558.992004 260.553864	-0.056 -0.000 0.056
player_start	4410.125000 -50.359028 260.549500	-0.061 -0.000 0.061
player_start	3781.502686 409.400452 260.525299	-0.090 -0.000 0.090
player_start	3388.012939 404.715607 260.557190	-0.052 -0.000 0.052
player_start	3421.626709 795.313110 260.548737	-0.062 -0.000 0.062
player_start	3787.238281 800.624084 260.536713	-0.076 -0.000 0.076
player_start	2909.508057 799.340515 260.533752	0.080 -0.000 0.080
