# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_lorica_v1
# Exported by: Kitty Supreme
setting:	replacespawns 1
mor_random_ammo	-1105.720337 -3771.965088 64.379425	0.172 0.001 0.148
mor_random_ammo	-1117.161865 -3755.498047 64.365425	0.077 0.000 0.026
mor_random_ammo	-1127.015381 -3766.786133 64.468132	0.597 0.021 0.725
mor_random_ammo	-597.273132 -4499.577637 88.435310	1.266 -0.031 -1.534
mor_random_ammo	-588.684509 -4479.224609 88.353348	0.055 0.000 -0.007
mor_random_ammo	-608.215942 -4493.526367 88.372688	0.111 -0.000 -0.071
mor_random_ammo	279.008514 -3189.907959 64.353348	0.055 0.000 -0.007
mor_random_ammo	281.208954 -3200.861084 64.382484	0.219 0.001 0.207
mor_random_ammo	-989.346191 -664.958130 64.351212	0.053 0.000 -0.011
mor_random_ammo	-996.019714 -670.558594 64.379448	0.168 0.001 0.144
mor_random_ammo	-1361.406738 -452.879913 64.360550	-0.064 -0.000 0.007
mor_random_ammo	-889.211365 9.147851 99.476646	0.387 0.019 0.468
mor_random_ammo	-904.186584 6.389744 99.427254	1.501 0.034 1.823
mor_random_ammo	-883.329956 26.144493 99.394455	1.112 0.015 1.299
mor_random_ammo	-904.630432 21.360142 99.383957	0.245 0.001 0.239
mor_random_ammo	-322.081238 -271.990173 64.415039	0.059 -0.895 -0.089
mor_random_ammo	-314.426941 -295.792480 64.427483	1.531 0.036 1.862
mor_random_ammo	-328.206665 -276.575165 64.372681	-0.095 0.152 -0.193
mor_random_ammo	-327.171051 -291.020020 64.355453	0.058 0.000 -0.003
mor_random_ammo	246.934464 -581.908752 64.377823	0.153 0.001 0.125
mor_random_ammo	224.224701 -553.179321 64.459717	0.784 0.023 0.952
mor_random_ammo	286.547455 -153.011536 112.658813	-68.942 -178.856 -164.484
mor_random_ammo	-464.342590 283.022430 -831.605835	0.959 0.011 1.113
mor_random_ammo	-479.725769 289.613922 -831.636475	0.072 0.000 0.019
mor_random_ammo	-469.491119 294.496429 -831.605103	1.448 0.025 1.708
mor_random_ammo	606.652954 -1234.126953 -831.645752	-0.055 -0.000 -0.007
mor_random_ammo	640.532104 -1246.218750 -831.621643	-0.137 -0.000 0.105
mor_random_ammo	1640.240356 -1344.951172 -831.557495	1.118 0.028 1.352
mor_random_ammo	1614.708252 -1332.895996 -831.628967	0.100 0.000 0.057
mor_random_ammo	1622.052979 -1322.927734 -831.608643	0.533 0.004 0.594
mor_random_ammo	776.502014 -2327.675049 -831.613342	0.322 0.002 0.334
mor_random_ammo	773.997253 -2305.180176 -831.682495	0.047 0.000 -0.035
mor_random_ammo	787.307861 -2310.439697 -831.642456	0.060 0.000 0.001
mor_random_ammo	-155.992661 -1931.190674 -831.628967	0.100 0.000 0.056
mor_random_ammo	-152.128906 -1941.311035 -831.612000	0.359 0.002 0.381
mor_random_ammo	-142.206573 -1936.751343 -831.605164	1.449 0.025 1.709
mor_random_ammo	1702.630981 -2082.801758 -831.570496	1.458 0.034 1.771
mor_random_ammo	1697.385254 -2065.080078 -831.615967	0.239 0.001 0.232
mor_random_ammo	1706.047607 -2070.348389 -831.657654	0.048 0.000 -0.021
mor_random_ammo	1703.103149 -2050.532715 -831.607849	0.635 0.005 0.718
mor_random_ammo	1765.229126 -42.155750 -831.612000	0.359 0.002 0.380
mor_random_ammo	1769.819336 -52.918182 -831.607849	0.631 0.005 0.714
mor_random_ammo	1686.876953 -121.565132 -831.655396	0.049 0.000 -0.019
mor_random_ammo	1707.595337 -126.410316 -831.567017	1.370 0.033 1.663
mor_random_ammo	-804.700012 -2470.705811 175.436142	1.312 0.032 1.593
mor_random_ammo	-804.476318 -2455.791016 175.449493	1.014 0.027 1.232
mor_random_ammo	-1211.569458 -2315.513428 175.464615	-0.696 0.018 -0.710
mor_random_ammo	-1202.479248 -2324.601318 175.362701	-0.334 -0.000 0.026
mor_random_ammo	-1197.486206 -2308.181885 175.380142	-0.153 0.001 -0.125
mor_random_ammo	-1153.247925 -2373.842773 175.384415	1.309 0.013 1.162
mor_random_ammo	-1164.732666 -2361.415283 175.379333	0.170 -0.001 -0.146
mor_random_ammo	-1148.281372 -2360.284424 175.423294	1.567 0.040 1.900
mor_random_ammo	-1110.341675 -2416.750732 175.443893	0.697 0.018 0.817
mor_random_ammo	-1119.340088 -2407.752686 175.384064	0.507 0.002 0.423
mor_random_ammo	-1100.031006 -2398.373535 175.361557	0.066 0.000 0.011
mor_random_ammo	-1117.327026 -1017.815430 64.355446	0.057 0.000 -0.004
mor_random_ammo	-1106.577393 -1012.528137 64.372749	0.111 0.000 0.071
mor_random_ammo	-1401.096069 -1916.015869 64.372551	-0.100 -0.000 0.057
mor_random_ammo	-1383.989136 -1906.212036 64.343063	-0.048 -0.000 -0.021
mor_random_ammo	-1793.392090 -1313.385986 64.394974	1.429 0.024 1.685
mor_random_ammo	-1803.091919 -1319.984985 64.374496	0.121 0.000 0.084
mor_random_ammo	-1781.406616 -1317.677124 64.394569	1.095 0.015 1.278
mor_random_ammo	-1535.920532 -233.302551 64.363503	0.072 0.000 0.019
mor_random_ammo	-1557.347778 -236.440903 64.337639	0.047 0.000 -0.025
mor_random_ammo	-1554.428711 -258.940613 64.325317	0.047 0.000 -0.032
mor_random_ammo	-17.971695 -341.868683 64.392105	0.634 0.005 0.716
mor_random_ammo	-8.593771 -338.531067 64.344589	0.049 0.000 -0.019
mor_random_ammo	-33.692078 -323.755066 64.359543	0.063 0.000 0.006
mor_random_ammo	-14.237064 -2493.343750 64.349037	0.051 0.000 -0.014
mor_random_ammo	-4.811293 -2485.002686 64.418198	1.600 0.036 1.932
mor_random_ammo	10.198277 -2511.271240 64.370987	0.099 0.000 0.056
weapon_mor_lz400	-546.467041 -2456.108154 175.475327	-2.442 -18.127 85.815
item_ammo_smg1_mor	-1257.773926 -2144.617676 96.497147	-0.161 0.039 0.213
item_ammo_smg1_mor	-1245.427124 -2144.297852 96.424423	0.536 -0.004 0.348
item_ammo_smg1_mor	-1233.184326 -2145.782959 96.527809	-0.575 0.061 -0.140
item_ammo_smg1_mor	-1257.739990 -2172.261230 96.534470	0.459 0.359 0.504
item_ammo_smg1_mor	-1245.417480 -2170.899170 96.547050	-0.307 0.649 -0.094
item_ammo_smg1_mor	-1233.392212 -2171.644531 96.523598	-0.141 0.351 0.174
item_ammo_smg1_mor	-1257.625732 -2197.955078 96.529800	0.248 -0.671 0.001
item_ammo_smg1_mor	-1245.439819 -2198.123291 96.530006	0.341 0.314 0.399
item_ammo_smg1_mor	-1233.101685 -2198.602051 96.523773	-0.723 0.342 -0.212
item_ammo_smg1_mor	-818.380981 -1302.724854 40.533619	0.162 0.310 0.140
item_ammo_smg1_mor	-800.152039 -1302.136475 40.484451	0.119 0.810 0.389
item_ammo_smg1_mor	-785.217957 -1301.770142 40.475876	0.071 0.988 0.202
item_ammo_smg1_mor	-675.211975 8.587502 99.406555	0.212 -0.005 0.131
item_ammo_smg1_mor	-662.555054 6.310910 99.505356	-0.595 0.011 -0.460
item_ammo_smg1_mor	-650.268127 8.560308 99.505356	-0.595 0.011 -0.459
item_ammo_smg1_mor	-1236.031250 -297.502228 64.520828	-0.229 0.015 -0.199
item_ammo_smg1_mor	-1222.451538 -299.591522 64.475403	0.562 -0.014 0.253
item_ammo_smg1_mor	-1209.933594 -298.945251 64.514648	-0.258 0.012 -0.226
item_ammo_smg1_mor	-1540.582397 -1368.615356 64.508095	-0.361 0.011 -0.294
item_ammo_smg1_mor	-1560.848999 -1370.022095 64.476471	0.555 -0.081 0.251
item_ammo_smg1_mor	-1576.716309 -1368.657959 64.399284	0.152 -0.005 0.090
item_ammo_smg1_mor	-575.367798 949.813782 -703.481140	0.254 -0.015 -0.218
item_ammo_smg1_mor	-558.480103 947.639343 -703.598206	-0.170 0.005 0.102
item_ammo_smg1_mor	-542.902344 944.577209 -703.517517	0.382 0.001 -0.369
item_ammo_smg1_mor	-4298.716797 -979.907959 -831.496460	-0.660 0.011 -0.498
item_ammo_smg1_mor	-4272.057617 -976.040527 -831.538818	0.063 0.063 0.265
item_ammo_smg1_mor	-4892.398926 -1271.441772 -831.486084	-0.264 0.012 -0.230
item_ammo_smg1_mor	-4907.451660 -1269.804688 -831.456116	-0.044 -0.013 -0.103
item_ammo_smg1_mor	-4919.554199 -1273.626587 -831.473267	0.008 0.011 0.072
item_ammo_smg1_mor	-5497.872070 -537.195129 -935.543274	0.302 -0.003 0.211
item_ammo_smg1_mor	-5477.399902 -539.377014 -935.470520	-0.180 0.016 -0.157
item_ammo_smg1_mor	-5457.203613 -538.497375 -935.584229	0.333 -0.005 0.212
item_ammo_smg1_mor	2341.042725 -1652.733521 -791.593445	0.214 -0.005 0.132
item_ammo_smg1_mor	2324.108887 -1654.756104 -791.608337	0.109 -0.005 0.061
item_ammo_smg1_mor	2308.524658 -1653.498413 -791.520508	0.206 0.000 0.021
item_ammo_smg1_mor	-514.492859 -4051.297607 129.531464	0.067 -1.042 -0.033
item_ammo_smg1_mor	-526.487732 -4047.667480 129.476761	0.112 -1.127 0.022
item_ammo_smg1_mor	-538.466309 -4048.449219 129.521744	-0.726 -0.145 0.410
item_ammo_smg1_mor	-979.996094 -4418.111816 88.480141	0.211 0.000 0.022
item_ammo_smg1_mor	-965.872559 -4420.754395 88.424416	0.532 -0.004 0.345
item_ammo_smg1_mor	-952.181274 -4422.724121 88.434570	0.945 -0.000 0.621
item_ammo_smg1_mor	-1115.453613 -2261.910156 96.470230	-0.883 0.161 -0.299
item_ammo_smg1_mor	-1114.397217 -2239.659424 96.477150	-0.016 -0.032 -0.007
item_ammo_smg1_mor	-1098.811890 -2261.798096 96.517891	-0.985 0.412 -0.346
item_ammo_smg1_mor	-1100.435791 -2241.990479 96.397476	0.185 -0.003 0.084
item_ammo_smg1_mor	-1082.636353 -2261.847412 96.477470	0.356 0.378 0.662
item_ammo_smg1_mor	-1082.759521 -2242.104980 96.499886	-1.122 0.196 -0.309
mor_random_rifle	-1035.509766 -4042.417236 129.807785	2.050 -6.313 83.371
mor_random_rifle	-1822.557495 -3229.556885 64.863136	2.132 -5.695 83.910
mor_random_rifle	-229.527863 -3125.850830 64.866646	2.078 8.099 83.948
mor_random_rifle	-11.356371 -2305.481201 64.864639	2.113 -5.691 83.896
mor_random_rifle	-312.563080 -2098.055908 96.859657	1.789 -5.242 83.994
mor_random_rifle	-312.629517 -2086.428223 97.000031	0.237 -5.326 83.723
mor_random_rifle	-312.641479 -2125.410645 96.945030	0.893 -6.972 82.813
mor_random_rifle	-312.666138 -2116.268799 97.161232	-0.940 -7.584 75.298
mor_random_rifle	-773.175354 -822.122559 40.864475	2.115 -5.692 83.897
mor_random_rifle	-638.892944 59.104237 99.866753	2.086 -5.687 83.875
mor_random_rifle	225.090790 -7.781589 64.864471	2.115 -5.692 83.897
mor_random_rifle	-1113.898315 977.523071 -831.135925	2.121 -5.693 83.902
mor_random_rifle	-1121.657715 -339.229614 -831.128784	2.043 -4.975 83.849
mor_random_rifle	-1121.632813 -1881.207397 -830.412903	-6.828 -0.422 1.849
mor_random_rifle	593.180054 -2273.800537 -831.129822	2.044 7.259 83.841
mor_random_rifle	1639.559814 -841.961060 -831.152649	2.046 -5.688 83.669
mor_random_rifle	1709.860229 -1601.928711 -831.144104	2.066 0.315 83.822
mor_random_rifle	1710.439575 -625.674377 -830.965759	2.292 3.976 -84.886
mor_random_rifle	89.387321 -1230.513306 -831.137878	2.145 -5.699 83.921
mor_random_rifle	-1643.726929 -2708.559082 -688.134155	2.098 -5.688 83.884
mor_random_rifle	1197.790283 -814.074219 -831.136414	2.127 -5.695 83.906
info_alien_spawn	-1092.121338 -1520.276367 564.509460	-0.130 0.000 -0.130
info_alien_spawn	-1017.272339 -1529.497681 564.536926	-0.090 0.000 -0.090
info_alien_spawn	-941.598206 -1525.304443 564.512146	-0.126 0.000 -0.126
info_alien_spawn	-669.413330 -1547.335938 564.561646	0.055 -0.000 -0.054
info_alien_spawn	-594.339600 -1539.560181 564.562744	0.054 -0.000 -0.053
info_alien_spawn	-512.235474 -1542.965332 564.569336	-0.042 -0.000 -0.046
info_alien_spawn	-521.681885 -1664.533325 564.580444	-0.002 0.499 -0.064
info_alien_spawn	-586.224487 -1671.307373 564.527771	0.103 -0.000 -0.103
info_alien_spawn	-661.935974 -1681.592529 564.535034	0.093 -0.000 -0.093
info_alien_spawn	-947.245361 -1688.589966 564.561035	0.056 -0.000 -0.055
info_alien_spawn	-1025.898682 -1692.106445 564.562744	-0.119 -1.225 -0.001
info_alien_spawn	-1099.118530 -1697.481201 564.578979	-0.067 -1.830 0.000
info_alien_spawn	-489.034729 -2120.335693 564.536011	0.092 -0.000 -0.092
info_alien_spawn	-578.719788 -2102.141846 564.548157	0.074 -0.000 -0.074
info_alien_spawn	-633.996460 -2100.496582 564.554016	0.066 -0.000 -0.065
info_alien_spawn	-1049.642090 -2098.369385 564.535034	0.093 -0.000 -0.093
info_alien_spawn	-986.585815 -2097.639404 564.513489	0.124 -0.000 -0.124
info_alien_spawn	-899.873901 -2104.271729 564.535034	0.093 -0.000 -0.093
info_alien_spawn	-854.077332 -2107.906494 564.527771	0.103 -0.000 -0.103
info_alien_spawn	-757.601257 -2101.932617 564.533020	0.096 -0.000 -0.096
info_alien_spawn	288.111938 -2270.179443 -653.421448	0.031 0.000 -0.037
info_alien_spawn	704.574402 -2250.404785 -653.448303	0.076 0.000 -0.077
info_alien_spawn	1543.259399 -1745.766724 -702.320618	0.050 -0.000 -0.050
info_alien_spawn	-1758.985229 98.698334 -653.434998	0.057 -0.000 -0.054
info_alien_spawn	-3123.726074 -163.080231 -702.331604	-0.067 -0.000 0.067
info_alien_spawn	-1402.182983 231.932663 -403.447601	0.074 0.000 -0.077
info_alien_spawn	-166.579727 248.896957 -403.452118	0.082 0.000 -0.084
info_alien_spawn	-1300.398926 -2418.073975 -407.424194	-0.001 -0.590 -0.092
info_alien_spawn	-718.080322 -2404.179199 -407.444183	0.068 0.000 -0.072
info_alien_spawn	-788.843994 -1927.926025 564.565979	0.049 -0.000 -0.048
info_alien_spawn	-876.819214 -1925.797119 564.533997	0.094 -0.000 -0.094
info_alien_spawn	-781.378723 -1830.257080 564.566345	0.001 1.266 0.107
info_alien_spawn	-914.748962 -1824.930542 564.580750	0.000 1.180 0.061
info_alien_spawn	-1457.072388 -2401.341309 -688.423096	0.019 0.000 -0.054
mor_random_weapon	-817.246338 -2435.822510 176.199921	1.876 4.716 -92.595
mor_random_weapon	-1093.273804 -2420.749268 176.202332	1.771 4.626 -92.746
mor_random_weapon	-1129.585083 -2381.991455 176.198441	1.893 4.717 -92.556
mor_random_weapon	-1170.374756 -2344.085938 176.220108	1.649 3.537 -93.116
mor_random_weapon	-1096.710205 -1029.631470 65.237450	1.452 4.668 -93.566
mor_random_weapon	-1422.940796 -1909.937256 65.195328	1.928 4.718 -92.476
mor_random_weapon	-1792.862915 -1292.719971 65.198433	1.893 4.717 -92.557
mor_random_weapon	-1555.880493 -251.033447 65.224075	1.604 4.689 -93.219
mor_random_weapon	9.458854 -330.140533 65.217506	1.678 4.699 -93.049
mor_random_weapon	15.274590 -2496.020752 65.226807	1.573 4.686 -93.290
item_ammo_battery_mor	-1821.667969 990.723389 -621.908386	0.026 -0.095 0.209
item_ammo_battery_mor	-1804.239258 1000.648865 -621.927490	0.030 -0.094 0.243
item_ammo_battery_mor	-1824.564575 963.436646 -621.917542	0.028 -0.095 0.226
item_ammo_battery_mor	-972.197205 229.165665 -397.884644	0.020 -0.096 0.167
item_ammo_battery_mor	-959.900085 252.409317 -397.906616	0.025 -0.095 0.206
item_ammo_battery_mor	-1005.565369 237.469406 -397.876556	0.019 -0.096 0.152
item_ammo_battery_mor	-757.915405 -2455.212402 181.088028	0.026 -0.094 0.216
item_ammo_battery_mor	-756.409424 -2438.960693 181.078568	0.029 -0.094 0.232
item_ammo_battery_mor	-755.108154 -2424.335693 181.120804	0.019 -0.096 0.157
item_ammo_battery_mor	-2515.389160 97.179375 -583.862488	0.016 -0.096 0.127
item_ammo_battery_mor	-2528.392578 96.059723 -583.908386	0.026 -0.095 0.209
item_ammo_battery_mor	-2538.942383 92.644669 -583.828247	0.353 -0.910 2.346
item_ammo_battery_mor	-999.869324 174.522888 -825.904907	0.025 -0.095 0.203
item_ammo_battery_mor	-997.714722 159.098129 -825.964661	0.038 -0.088 0.310
item_ammo_battery_mor	-977.875854 158.112717 -825.908386	0.026 -0.095 0.209
item_ammo_battery_mor	-902.040649 -2254.249268 102.096794	0.025 -0.095 0.200
item_ammo_battery_mor	-918.439636 -2255.260254 102.152786	0.012 -0.096 0.100
item_ammo_battery_mor	-932.496338 -2255.479004 102.084320	0.027 -0.094 0.222
item_ammo_battery_mor	-932.327942 -2236.212646 102.131966	0.017 -0.096 0.137
item_ammo_battery_mor	-916.620056 -2234.596436 102.067444	-0.051 0.108 0.526
item_ammo_battery_mor	-900.951294 -2230.548584 102.111862	0.005 -0.089 -0.176
item_ammo_battery_mor	-611.896729 -926.421143 46.118111	0.020 -0.096 0.162
item_ammo_battery_mor	-324.710632 50.760643 70.058571	0.028 -0.068 0.451
item_ammo_battery_mor	-328.055511 37.925804 70.051605	0.029 -0.064 0.471
item_ammo_buckshot_mor	-818.934143 -1615.286499 40.405563	-1.036 -0.007 0.831
item_ammo_buckshot_mor	-806.359070 -1615.074463 40.350479	0.838 0.002 -0.671
item_ammo_buckshot_mor	-532.743286 78.708694 99.380455	-0.069 0.002 0.144
item_ammo_buckshot_mor	-547.432251 78.159935 99.386208	-1.005 -0.011 0.896
item_ammo_buckshot_mor	-560.328857 78.743431 99.328896	0.282 0.003 -0.216
item_ammo_buckshot_mor	-408.733337 1002.491089 -831.628052	0.765 -0.120 -0.530
item_ammo_buckshot_mor	-420.179138 1007.078857 -831.588745	-0.780 -0.004 0.699
item_ammo_buckshot_mor	-404.461334 984.107056 -831.596252	-0.857 -0.010 0.762
item_ammo_buckshot_mor	2341.087158 -2113.768066 -831.661987	0.451 0.004 -0.354
item_ammo_buckshot_mor	2325.908936 -2115.767334 -831.608154	-0.982 0.004 0.869
item_ammo_buckshot_mor	2308.935303 -2113.180908 -831.554871	-0.528 -0.006 0.470
item_ammo_buckshot_mor	-1062.128052 -2265.475830 96.460663	-0.427 -0.005 0.347
item_ammo_buckshot_mor	-1062.182251 -2248.111084 96.374321	0.751 -0.022 -0.518
item_ammo_buckshot_mor	-1048.914063 -2266.488770 96.445999	1.350 -0.011 -0.365
item_ammo_buckshot_mor	-1050.195313 -2250.250244 96.467346	-0.357 -0.006 0.316
item_ammo_buckshot_mor	-1036.363281 -2266.433838 96.466087	1.128 -0.102 -0.276
item_ammo_buckshot_mor	-1036.598999 -2249.831299 96.384254	-0.781 -0.007 0.717
item_ammo_buckshot_mor	-1021.654541 -2266.412842 96.451408	1.470 -0.075 -0.352
item_ammo_buckshot_mor	-1020.784668 -2250.824219 96.395432	-0.952 -0.004 0.843
weapon_mor_mars	-5486.375000 -1713.235962 -934.871765	-0.390 14.615 86.965
weapon_mor_mars	-2530.657715 -517.568420 -830.856567	-0.368 17.410 87.316
weapon_mor_mars	-645.914429 963.996704 -830.874512	-0.436 7.488 87.060
weapon_mor_mars	-1024.954956 78.031792 100.133362	-0.382 17.409 87.077
weapon_mor_mars	-663.242554 -2114.039307 97.117996	-0.403 17.406 86.713
weapon_mor_mars	-664.004578 -2138.076416 97.130058	-0.387 17.408 86.999
weapon_mor_mars	-665.888062 -2161.978516 97.107018	-0.418 16.889 86.453
weapon_mor_mars	-1036.053223 -4126.750000 130.118622	-0.402 17.407 86.728
weapon_mor_mars	1853.195313 -1384.383301 -794.876831	-0.396 17.407 86.835
need_food	1770.186768 -1820.828369 -784.138062	0.001 90.033 -89.998
need_food	1764.268799 -1731.659302 -784.116150	0.042 -0.068 90.000
need_food	1764.148926 -1548.639282 -784.070251	-0.000 0.087 -90.064
need_food	1764.253052 -1462.816528 -784.054688	0.033 -0.046 -90.059
need_food	1764.093628 -1368.718872 -784.087891	0.020 0.048 89.911
need_food	1771.603394 -1903.392700 -784.164368	0.010 90.539 -89.990
need_food	1764.265991 -317.417267 -784.084534	-0.038 0.057 89.964
need_food	1764.170410 -399.409515 -784.057617	-0.012 -0.079 89.976
need_food	1770.199341 -489.399139 -784.050171	-0.000 -90.000 90.000
need_food	1770.193481 -684.014038 -784.048035	0.000 -90.000 89.993
need_food	1764.145874 -845.508606 -784.050171	-0.000 0.075 90.000
need_food	1770.126831 -765.620483 -784.075684	-0.060 -89.848 89.999
need_wash	-5319.923340 -580.311584 -907.886902	89.988 89.979 180.000
need_wash	-5320.279785 -590.238281 -865.977478	-0.020 -92.781 -0.053
need_wash	-5195.395508 -591.088379 -913.790222	0.002 -88.635 -0.008
need_wash	-5197.052734 -590.445984 -865.841309	0.005 -87.879 -0.008
need_wash	-5440.915039 -592.652222 -907.801819	89.952 90.711 180.000
need_wash	-5447.181641 -598.777039 -865.902222	0.068 -91.586 0.031
need_wash	-4859.325195 -589.424500 -913.759216	-0.077 89.974 -0.025
need_wash	-4862.575195 -584.045166 -860.016052	-89.945 -89.787 180.000
need_wash	-4733.914551 -603.900513 -865.561096	-0.893 90.077 -0.037
need_wash	-4738.148438 -603.225891 -913.734802	0.070 -90.988 0.001
need_wash	-4860.153320 -1619.448608 -913.706543	0.126 -89.949 -0.063
need_wash	-4861.669922 -1620.430054 -865.842407	0.168 -90.409 -0.071
need_wash	-4735.083984 -1613.673828 -913.793823	-0.018 -90.009 -0.025
need_wash	-4736.602539 -1614.497192 -865.943909	0.013 -90.674 -0.020
need_wash	-5193.367188 -1624.168457 -913.744934	0.092 -90.029 0.000
need_wash	-5191.004883 -1624.043091 -865.935181	0.129 -88.325 -0.012
need_wash	-5316.707520 -1614.123413 -913.734375	-0.071 -90.163 -0.002
need_wash	-5314.996582 -1609.358032 -865.907715	0.008 -90.031 -0.008
need_wash	-5437.122559 -1616.067871 -907.819702	-89.999 90.155 180.000
need_wash	-5436.868164 -1609.825317 -865.912964	0.101 -89.364 0.005
need_bed	-1598.751221 -3734.089844 82.293549	-0.000 0.096 0.000
need_bed	-1726.527344 -3734.052979 82.293541	-0.055 -0.028 -0.028
need_bed	-1478.830566 -3734.040771 82.293442	-0.183 -0.091 0.092
need_bed	-1346.091187 -3734.050049 82.293549	-0.000 -0.000 0.000
need_bed	-1408.312256 -3732.630127 154.669708	0.005 -0.509 -4.343
need_bed	-1534.448486 -3733.001221 161.090958	-87.047 73.889 -73.992
need_bed	-1673.198975 -3732.111084 154.560394	-0.017 -0.134 -4.343
need_bed	-1792.509521 -3732.014648 154.537598	0.001 -0.466 -4.340
need_bed	-213.617554 -3734.126709 82.286552	0.057 -0.160 -0.020
need_bed	-98.222404 -3734.086670 82.329025	-0.148 0.000 0.117
need_bed	32.035877 -3734.041504 82.293488	-0.131 0.016 -0.066
need_bed	160.404312 -3733.962891 82.279366	-0.034 -0.167 -0.000
need_bed	221.354507 -3734.268799 167.995834	0.000 0.000 0.000
need_bed	89.124237 -3729.833008 154.515076	-0.018 1.378 -4.314
need_bed	-157.860916 -3732.079590 154.737396	-0.009 0.723 -4.446
need_bed	-35.794746 -3732.710449 154.681732	-0.174 0.150 -4.442
weapon_glowstick	-1252.728882 -2014.009399 102.980263	-0.546 0.844 -0.120
weapon_glowstick	-1237.414795 -2014.468018 102.995506	-0.477 0.854 -0.105
weapon_glowstick	-1253.145508 -2023.246216 102.945122	-0.707 0.765 -0.155
weapon_glowstick	-1238.419800 -2022.524048 103.004562	-0.436 0.866 -0.096
weapon_glowstick	-852.971313 -1152.017212 46.988987	-0.507 0.853 -0.111
weapon_glowstick	-617.605957 -682.516296 46.974705	-0.572 0.833 -0.125
weapon_glowstick	-901.460999 -33.584644 106.046883	2.177 0.050 1.568
weapon_glowstick	-908.425293 -22.120077 105.952003	-0.675 0.798 -0.148
weapon_glowstick	3.064846 -1081.435913 70.993912	-0.484 0.854 -0.106
weapon_glowstick	-169.851715 -3658.463623 96.053810	-0.179 -0.094 -0.082
weapon_glowstick	-608.803284 -3938.366455 135.985565	-0.522 0.844 -0.115
weapon_glowstick	-596.804260 -3942.863037 136.023911	-0.347 0.876 -0.076
weapon_glowstick	-1533.881470 -3657.124268 95.971786	-0.359 -0.131 -0.164
weapon_glowstick	-1571.478516 -1207.387817 70.952003	-0.675 0.798 -0.148
weapon_glowstick	-1121.644653 361.186584 -824.950623	-0.231 0.883 -0.051
weapon_glowstick	-584.819153 345.654053 -824.989807	-0.410 0.866 -0.090
weapon_glowstick	-2446.767090 136.848267 -825.033081	-0.607 0.816 -0.133
weapon_glowstick	-2454.251953 136.881516 -825.012695	-0.514 0.844 -0.113
weapon_glowstick	-5013.415527 -414.961639 -928.976990	-0.367 0.925 -0.084
